Vivado Simulator 2020.2
Time resolution is 1 ps
Time: 0 | ir_out1: x | ir_out2: x
Time: 6076228000 | ir_out1: 0 | ir_out2: 0
Time: 6089380000 | ir_out1: 1 | ir_out2: 1
Time: 6102532000 | ir_out1: 0 | ir_out2: 0
Time: 6115684000 | ir_out1: 1 | ir_out2: 1
Time: 6128836000 | ir_out1: 0 | ir_out2: 0
Time: 6141988000 | ir_out1: 1 | ir_out2: 1
Time: 6155140000 | ir_out1: 0 | ir_out2: 0
Time: 6168292000 | ir_out1: 1 | ir_out2: 1
Time: 6181444000 | ir_out1: 0 | ir_out2: 0
Time: 6194596000 | ir_out1: 1 | ir_out2: 1
Time: 6207748000 | ir_out1: 0 | ir_out2: 0
Time: 6220900000 | ir_out1: 1 | ir_out2: 1
Time: 6234052000 | ir_out1: 0 | ir_out2: 0
Time: 6247204000 | ir_out1: 1 | ir_out2: 1
Time: 6260356000 | ir_out1: 0 | ir_out2: 0
Time: 6273508000 | ir_out1: 1 | ir_out2: 1
Time: 6286660000 | ir_out1: 0 | ir_out2: 0
Time: 6299812000 | ir_out1: 1 | ir_out2: 1
Time: 6312964000 | ir_out1: 0 | ir_out2: 0
Time: 6326116000 | ir_out1: 1 | ir_out2: 1
Time: 6339268000 | ir_out1: 0 | ir_out2: 0
Time: 6352420000 | ir_out1: 1 | ir_out2: 1
Time: 6365572000 | ir_out1: 0 | ir_out2: 0
Time: 6378724000 | ir_out1: 1 | ir_out2: 1
Time: 6391876000 | ir_out1: 0 | ir_out2: 0
Time: 6405028000 | ir_out1: 1 | ir_out2: 1
Time: 6418180000 | ir_out1: 0 | ir_out2: 0
Time: 6431332000 | ir_out1: 1 | ir_out2: 1
Time: 6444484000 | ir_out1: 0 | ir_out2: 0
Time: 6457636000 | ir_out1: 1 | ir_out2: 1
Time: 6470788000 | ir_out1: 0 | ir_out2: 0
Time: 6483940000 | ir_out1: 1 | ir_out2: 1
Time: 6497092000 | ir_out1: 0 | ir_out2: 0
Time: 6510244000 | ir_out1: 1 | ir_out2: 1
Time: 6523396000 | ir_out1: 0 | ir_out2: 0
Time: 6536548000 | ir_out1: 1 | ir_out2: 1
Time: 6549700000 | ir_out1: 0 | ir_out2: 0
Time: 6562852000 | ir_out1: 1 | ir_out2: 1
Time: 6576004000 | ir_out1: 0 | ir_out2: 0
Time: 6589156000 | ir_out1: 1 | ir_out2: 1
Time: 6602308000 | ir_out1: 0 | ir_out2: 0
Time: 6615460000 | ir_out1: 1 | ir_out2: 1
Time: 6628612000 | ir_out1: 0 | ir_out2: 0
Time: 6641764000 | ir_out1: 1 | ir_out2: 1
Time: 6654916000 | ir_out1: 0 | ir_out2: 0
Time: 6668068000 | ir_out1: 1 | ir_out2: 1
Time: 6681220000 | ir_out1: 0 | ir_out2: 0
Time: 6694372000 | ir_out1: 1 | ir_out2: 1
Time: 6707524000 | ir_out1: 0 | ir_out2: 0
Time: 6720676000 | ir_out1: 1 | ir_out2: 1
Time: 6733828000 | ir_out1: 0 | ir_out2: 0
Time: 6746980000 | ir_out1: 1 | ir_out2: 1
Time: 6760132000 | ir_out1: 0 | ir_out2: 0
Time: 6773284000 | ir_out1: 1 | ir_out2: 1
Time: 6786436000 | ir_out1: 0 | ir_out2: 0
Time: 6799588000 | ir_out1: 1 | ir_out2: 1
Time: 6812740000 | ir_out1: 0 | ir_out2: 0
Time: 6825892000 | ir_out1: 1 | ir_out2: 1
Time: 6839044000 | ir_out1: 0 | ir_out2: 0
Time: 6852196000 | ir_out1: 1 | ir_out2: 1
Time: 6865348000 | ir_out1: 0 | ir_out2: 0
Time: 6878500000 | ir_out1: 1 | ir_out2: 1
Time: 6891652000 | ir_out1: 0 | ir_out2: 0
Time: 6904804000 | ir_out1: 1 | ir_out2: 1
Time: 6917956000 | ir_out1: 0 | ir_out2: 0
Time: 6931108000 | ir_out1: 1 | ir_out2: 1
Time: 6944260000 | ir_out1: 0 | ir_out2: 0
Time: 6957412000 | ir_out1: 1 | ir_out2: 1
Time: 6970564000 | ir_out1: 0 | ir_out2: 0
Time: 6983716000 | ir_out1: 1 | ir_out2: 1
Time: 6996868000 | ir_out1: 0 | ir_out2: 0
Time: 7010020000 | ir_out1: 1 | ir_out2: 1
Time: 7023172000 | ir_out1: 0 | ir_out2: 0
Time: 7036324000 | ir_out1: 1 | ir_out2: 1
Time: 7049476000 | ir_out1: 0 | ir_out2: 0
Time: 7062628000 | ir_out1: 1 | ir_out2: 1
Time: 7075780000 | ir_out1: 0 | ir_out2: 0
Time: 7088932000 | ir_out1: 1 | ir_out2: 1
Time: 7102084000 | ir_out1: 0 | ir_out2: 0
Time: 7115236000 | ir_out1: 1 | ir_out2: 1
Time: 7128388000 | ir_out1: 0 | ir_out2: 0
Time: 7141540000 | ir_out1: 1 | ir_out2: 1
Time: 7154692000 | ir_out1: 0 | ir_out2: 0
Time: 7167844000 | ir_out1: 1 | ir_out2: 1
Time: 7180996000 | ir_out1: 0 | ir_out2: 0
Time: 7194148000 | ir_out1: 1 | ir_out2: 1
Time: 7207300000 | ir_out1: 0 | ir_out2: 0
Time: 7220452000 | ir_out1: 1 | ir_out2: 1
